City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,35.26,93,100,32.21,sleet
1,Honiara,SB,-9.4333,159.95,76.14,85,39,3.02,scattered clouds
2,Rikitea,PF,-23.1203,-134.9692,72.61,75,99,7.7,overcast clouds
3,Aykhal,RU,66.0,111.5,53.19,84,64,2.39,broken clouds
4,Busselton,AU,-33.65,115.3333,58.93,81,29,17.07,scattered clouds
5,Bukachacha,RU,52.9833,116.9167,68.95,72,82,6.76,broken clouds
6,Mataura,NZ,-46.1927,168.8643,34.48,98,16,2.95,few clouds
7,Barrow,US,71.2906,-156.7887,37.42,93,100,12.66,mist
8,Tasiilaq,GL,65.6145,-37.6368,40.98,75,67,4.56,broken clouds
9,Mar Del Plata,AR,-38.0023,-57.5575,53.62,68,0,6.91,moderate rain
10,Qaanaaq,GL,77.484,-69.3632,42.19,84,100,11.54,overcast clouds
11,Genhe,CN,50.7833,121.5167,59.5,95,15,3.69,few clouds
12,Bluff,NZ,-46.6,168.3333,34.81,84,83,7.25,broken clouds
13,Grindavik,IS,63.8424,-22.4338,55.87,82,75,8.05,broken clouds
14,Faanui,PF,-16.4833,-151.75,77.65,74,13,10.29,few clouds
15,Mount Isa,AU,-20.7333,139.5,47.97,46,0,5.75,clear sky
16,Puerto Ayora,EC,-0.7393,-90.3518,72.55,84,48,5.99,scattered clouds
17,Machinga,MW,-15.1685,35.3,69.1,41,36,4.29,scattered clouds
18,Zhigansk,RU,66.7697,123.3711,51.93,94,97,7.78,overcast clouds
19,Lazaro Cardenas,MX,17.9583,-102.2,85.1,69,99,5.61,overcast clouds
20,Chuy,UY,-33.6971,-53.4616,60.01,83,100,3.15,overcast clouds
21,Mogadishu,SO,2.0371,45.3438,75.97,81,47,17.96,scattered clouds
22,Tokur,RU,53.1333,132.9,50.34,96,93,3.24,overcast clouds
23,Kapaa,US,22.0752,-159.319,75.18,92,12,9.89,moderate rain
24,Lebu,CL,-37.6167,-73.65,54.34,96,100,11.07,overcast clouds
25,Jamestown,US,42.097,-79.2353,83.01,67,4,4.0,clear sky
26,Poum,NC,-20.2333,164.0167,77.25,90,41,19.39,scattered clouds
27,Haines Junction,CA,60.7522,-137.5108,49.73,78,100,6.4,overcast clouds
28,Mandalgovi,MN,45.7625,106.2708,58.59,56,54,5.26,broken clouds
29,Broken Hill,AU,-31.95,141.4333,55.08,71,100,12.28,overcast clouds
30,Cherskiy,RU,68.75,161.3,33.94,87,24,5.48,few clouds
31,Punta Arenas,CL,-53.15,-70.9167,41.02,75,0,21.85,clear sky
32,Kavieng,PG,-2.5744,150.7967,81.7,78,39,10.31,light rain
33,Barstow,US,34.8986,-117.0228,95.99,10,29,9.1,scattered clouds
34,Masterton,NZ,-40.9597,175.6575,37.89,84,95,1.45,overcast clouds
