City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lugovoy,KZ,2022-07-26 20:28:33,42.9472,72.7644,78.87,26,5,4.5,clear sky
1,Hailar,CN,2022-07-26 20:28:33,49.2,119.7,62.71,92,0,8.19,clear sky
2,Mokhsogollokh,RU,2022-07-26 20:28:34,61.4681,128.9203,59.63,79,69,1.45,broken clouds
3,Camacha,PT,2022-07-26 20:28:34,33.0833,-16.3333,67.42,88,40,14.97,scattered clouds
4,Iraray,PH,2022-07-26 20:28:35,8.9936,118.0511,79.2,83,33,5.77,scattered clouds
5,Tuktoyaktuk,CA,2022-07-26 20:28:36,69.4541,-133.0374,62.6,67,100,23.02,overcast clouds
6,Ahuimanu,US,2022-07-26 20:28:37,21.4447,-157.8378,80.31,74,75,16.11,broken clouds
7,Saldanha,ZA,2022-07-26 20:28:37,-33.0117,17.9442,55.45,88,21,4.74,few clouds
8,New Norfolk,AU,2022-07-26 20:28:38,-42.7826,147.0587,44.1,86,94,2.86,overcast clouds
9,Hambantota,LK,2022-07-26 20:28:39,6.1241,81.1185,78.55,84,95,2.42,overcast clouds
10,Vaini,TO,2022-07-26 20:27:36,-21.2,-175.2,73.94,68,100,12.03,overcast clouds
11,Hithadhoo,MV,2022-07-26 20:28:40,-0.6,73.0833,81.01,76,100,13.29,light rain
12,Jamestown,US,2022-07-26 20:24:09,42.097,-79.2353,79.52,54,100,11.01,overcast clouds
13,Vila Franca Do Campo,PT,2022-07-26 20:28:42,37.7167,-25.4333,79.2,83,41,5.73,scattered clouds
14,Puerto Escondido,MX,2022-07-26 20:28:42,15.85,-97.0667,88.63,58,40,8.05,scattered clouds
15,Puerto Ayora,EC,2022-07-26 20:28:43,-0.7393,-90.3518,76.96,89,100,8.01,overcast clouds
16,Tutin,RS,2022-07-26 20:28:43,42.9903,20.3314,74.21,45,94,4.25,overcast clouds
17,Celestun,MX,2022-07-26 20:28:44,20.8667,-90.4,85.26,69,36,14.76,scattered clouds
18,Shimoda,JP,2022-07-26 20:28:44,34.6667,138.95,76.1,92,52,6.98,broken clouds
19,Faya,SA,2022-07-26 20:28:45,18.3851,42.4509,68.11,61,100,5.66,overcast clouds
20,Visnes,NO,2022-07-26 20:28:45,59.3556,5.2242,52.21,82,75,16.11,broken clouds
21,Ribeira Grande,PT,2022-07-26 20:28:46,38.5167,-28.7,75.6,83,20,10.36,few clouds
22,Punta Arenas,CL,2022-07-26 20:28:46,-53.15,-70.9167,37.51,65,0,10.36,clear sky
23,Juneau,US,2022-07-26 20:28:47,58.3019,-134.4197,63.84,97,100,0.0,fog
24,Fairview,US,2022-07-26 20:26:39,40.8126,-73.999,83.88,42,0,11.5,clear sky
25,Severo-Kurilsk,RU,2022-07-26 20:28:48,50.6789,156.125,52.79,85,94,5.73,overcast clouds
26,Egvekinot,RU,2022-07-26 20:28:49,66.3167,-179.1667,43.61,60,76,0.29,broken clouds
27,Pevek,RU,2022-07-26 20:28:50,69.7008,170.3133,34.38,82,78,6.04,broken clouds
28,Rikitea,PF,2022-07-26 20:28:50,-23.1203,-134.9692,75.43,75,97,13.15,overcast clouds
29,Cape Town,ZA,2022-07-26 20:25:53,-33.9258,18.4232,56.12,83,75,3.44,broken clouds
30,Srednekolymsk,RU,2022-07-26 20:28:51,67.45,153.6833,42.04,72,88,14.97,overcast clouds
31,Chuy,UY,2022-07-26 20:28:51,-33.6971,-53.4616,62.51,92,88,4.76,overcast clouds
32,Saint-Francois,FR,2022-07-26 20:23:56,46.4154,3.9054,67.44,56,0,9.22,clear sky
33,Tocopilla,CL,2022-07-26 20:28:52,-22.092,-70.1979,64.85,70,29,11.45,scattered clouds
34,Atuona,PF,2022-07-26 20:28:53,-9.8,-139.0333,77.25,76,6,17.63,clear sky
35,Hobart,AU,2022-07-26 20:27:22,-42.8794,147.3294,44.46,87,20,9.22,few clouds
36,Champerico,GT,2022-07-26 20:28:54,14.3,-91.9167,90.14,71,44,6.62,scattered clouds
37,Victoria,HK,2022-07-26 20:27:30,22.2855,114.1577,86.38,77,0,5.99,clear sky
38,Albany,US,2022-07-26 20:24:36,42.6001,-73.9662,78.58,51,100,9.26,overcast clouds
39,Lompoc,US,2022-07-26 20:28:55,34.6391,-120.4579,89.02,64,0,12.66,clear sky
40,Moose Factory,CA,2022-07-26 20:28:56,51.2585,-80.6094,64.4,77,0,14.97,clear sky
41,Launceston,AU,2022-07-26 20:28:56,-41.45,147.1667,40.6,94,100,0.0,overcast clouds
42,Mackenzie,CA,2022-07-26 20:25:07,55.2999,-123.1698,79.02,47,0,4.61,clear sky
43,Tarakan,ID,2022-07-26 20:28:57,3.3,117.6333,78.98,82,100,5.75,overcast clouds
44,Flekkefjord,NO,2022-07-26 20:28:58,58.2971,6.6607,54.05,80,98,20.42,overcast clouds
45,Seoul,KR,2022-07-26 20:28:59,37.5683,126.9778,78.4,89,75,4.61,mist
46,Konza,KE,2022-07-26 20:28:59,-1.7426,37.1294,55.89,76,90,8.41,overcast clouds
47,Ushuaia,AR,2022-07-26 20:26:43,-54.8,-68.3,38.82,64,20,6.91,few clouds
48,Avarua,CK,2022-07-26 20:29:00,-21.2078,-159.775,73.45,64,40,12.66,scattered clouds
49,Mataura,NZ,2022-07-26 20:29:01,-46.1927,168.8643,44.47,97,100,7.47,overcast clouds
50,Islahiye,TR,2022-07-26 20:29:02,37.025,36.6306,74.66,59,0,5.95,clear sky
51,Sibolga,ID,2022-07-26 20:29:02,1.7427,98.7792,75.74,90,100,2.59,light rain
52,Umuarama,BR,2022-07-26 20:26:00,-23.7664,-53.325,81.37,42,0,2.08,clear sky
53,Meulaboh,ID,2022-07-26 20:29:03,4.1363,96.1285,73.9,94,100,5.66,moderate rain
54,Tiksi,RU,2022-07-26 20:29:04,71.6872,128.8694,51.64,81,54,2.33,broken clouds
55,Dikson,RU,2022-07-26 20:29:05,73.5069,80.5464,44.92,92,100,28.81,light rain
56,Haines Junction,CA,2022-07-26 20:29:05,60.7522,-137.5108,67.95,45,48,17.27,scattered clouds
57,Mairana,BO,2022-07-26 20:29:06,-18.1167,-63.9333,69.4,57,36,7.72,scattered clouds
58,Belaya Gora,RU,2022-07-26 20:29:07,68.5333,146.4167,50.31,53,84,13.44,broken clouds
59,Polunochnoye,RU,2022-07-26 20:29:07,60.8697,60.4153,49.77,75,73,4.47,broken clouds
60,Busselton,AU,2022-07-26 20:29:09,-33.65,115.3333,48.96,84,0,7.25,clear sky
61,Margate,GB,2022-07-26 20:29:09,51.3813,1.3862,63.3,71,100,1.99,overcast clouds
62,Taoudenni,ML,2022-07-26 20:29:10,22.6783,-3.9836,105.76,9,94,10.63,overcast clouds
63,Tura,IN,2022-07-26 20:29:11,25.5198,90.2201,72.19,89,42,2.35,scattered clouds
64,Half Moon Bay,US,2022-07-26 20:29:11,37.4636,-122.4286,86.54,65,100,12.66,overcast clouds
65,Waingapu,ID,2022-07-26 20:29:12,-9.6567,120.2641,71.4,80,92,7.81,overcast clouds
66,Ust-Maya,RU,2022-07-26 20:29:13,60.4167,134.5333,58.46,75,9,0.58,clear sky
67,Mar Del Plata,AR,2022-07-26 20:26:31,-38.0023,-57.5575,59.09,97,100,8.05,mist
68,Alta Floresta,BR,2022-07-26 20:29:13,-9.8756,-56.0861,94.82,26,40,8.05,scattered clouds
69,Abatskoye,RU,2022-07-26 20:29:14,56.2875,70.4555,64.6,94,100,10.02,overcast clouds
70,Sinnamary,GF,2022-07-26 20:29:15,5.3833,-52.95,82.53,74,49,7.49,scattered clouds
71,Port Elizabeth,ZA,2022-07-26 20:28:56,-33.918,25.5701,60.31,79,0,5.75,clear sky
72,Neyshabur,IR,2022-07-26 20:29:16,36.2133,58.7958,81.84,30,7,6.22,clear sky
73,Del Rio,US,2022-07-26 20:29:10,29.3627,-100.8968,100.51,28,0,13.8,clear sky
74,Praia,CV,2022-07-26 20:29:17,14.9215,-23.5087,81.14,74,75,4.61,broken clouds
75,Linxia,CN,2022-07-26 20:29:18,35.6003,103.2064,60.03,82,100,4.79,overcast clouds
76,Hilo,US,2022-07-26 20:29:03,19.7297,-155.09,86.29,96,75,9.22,moderate rain
77,Pangnirtung,CA,2022-07-26 20:29:19,66.1451,-65.7125,44.6,87,75,6.91,broken clouds
78,Sorland,NO,2022-07-26 20:29:06,67.667,12.6934,53.46,91,100,30.22,light rain
79,Nikolskoye,RU,2022-07-26 20:29:20,59.7035,30.7861,72.88,78,89,6.08,overcast clouds
80,Hermanus,ZA,2022-07-26 20:29:21,-34.4187,19.2345,47.8,88,99,7.31,overcast clouds
81,Bluff,NZ,2022-07-26 20:29:21,-46.6,168.3333,44.8,89,100,22.75,overcast clouds
82,Vagur,FO,2022-07-26 20:29:22,61.4732,-6.8119,52.66,78,98,11.99,overcast clouds
83,Hofn,IS,2022-07-26 20:29:23,64.2539,-15.2082,50.25,89,99,2.91,overcast clouds
84,Hasaki,JP,2022-07-26 20:29:23,35.7333,140.8333,77.4,90,100,16.04,overcast clouds
85,Thompson,CA,2022-07-26 20:27:48,55.7435,-97.8558,59.16,88,75,8.05,broken clouds
86,Kattivakkam,IN,2022-07-26 20:29:24,13.2167,80.3167,84.07,80,20,6.89,few clouds
87,Dabat,ET,2022-07-26 20:29:25,12.9842,37.765,53.58,93,100,2.57,light rain
88,Gubkinskiy,RU,2022-07-26 20:29:25,64.434,76.5026,56.05,74,9,14.92,clear sky
89,Tasiilaq,GL,2022-07-26 20:29:26,65.6145,-37.6368,41.16,93,100,1.63,overcast clouds
90,Sitka,US,2022-07-26 20:29:26,57.0531,-135.33,58.89,88,100,0.0,overcast clouds
91,Kapaa,US,2022-07-26 20:26:54,22.0752,-159.319,82.72,70,20,18.41,few clouds
92,Dickinson,US,2022-07-26 20:29:27,29.4608,-95.0513,98.15,59,75,11.5,broken clouds
93,Kodiak,US,2022-07-26 20:27:48,57.79,-152.4072,54.91,62,0,0.0,clear sky
94,Nouadhibou,MR,2022-07-26 20:27:49,20.931,-17.0347,82.38,78,41,12.66,scattered clouds
95,Longyearbyen,SJ,2022-07-26 20:29:28,78.2186,15.6401,48.04,81,75,5.75,broken clouds
96,Bukachacha,RU,2022-07-26 20:29:28,52.9833,116.9167,61.54,99,100,4.5,moderate rain
97,Yellowknife,CA,2022-07-26 20:29:29,62.456,-114.3525,72.12,46,20,6.91,few clouds
98,Kokkola,FI,2022-07-26 20:29:30,63.8385,23.1307,63.93,94,0,9.22,clear sky
99,Clyde River,CA,2022-07-26 20:29:30,70.4692,-68.5914,39.43,100,75,8.05,light rain
100,Zvenigovo,RU,2022-07-26 20:29:31,55.9742,48.0181,65.35,96,54,6.53,broken clouds
101,Kruisfontein,ZA,2022-07-26 20:29:32,-34.0033,24.7314,54.88,50,13,6.96,few clouds
102,Mehamn,NO,2022-07-26 20:29:32,71.0357,27.8492,58.91,90,100,5.55,overcast clouds
103,Padang,ID,2022-07-26 20:29:33,-0.9492,100.3543,76.03,86,91,3.27,overcast clouds
104,Puerto Baquerizo Moreno,EC,2022-07-26 20:29:33,-0.9,-89.6,74.39,73,40,6.91,scattered clouds
105,Taruma,BR,2022-07-26 20:29:34,-22.7467,-50.5772,82.65,32,0,3.44,clear sky
106,Fort Saint James,CA,2022-07-26 20:29:35,54.4333,-124.25,85.64,36,7,1.12,clear sky
107,Oranjemund,NA,2022-07-26 20:29:36,-28.55,16.4333,55.58,84,78,3.11,broken clouds
108,Vardo,NO,2022-07-26 20:29:36,70.3705,31.1107,57.18,94,100,8.05,overcast clouds
109,Bathsheba,BB,2022-07-26 20:29:37,13.2167,-59.5167,86.61,77,20,19.57,few clouds
110,Fukue,JP,2022-07-26 20:29:37,32.6881,128.8419,78.42,77,0,5.21,clear sky
111,Burnie,AU,2022-07-26 20:29:38,-41.0667,145.9167,47.91,73,6,10.65,clear sky
112,Moroni,KM,2022-07-26 20:29:38,-11.7022,43.2551,74.35,78,4,11.9,clear sky
113,Gbadolite,CD,2022-07-26 20:29:39,4.2833,21.0167,71.8,97,100,2.91,moderate rain
114,Saint Anthony,US,2022-07-26 20:28:58,45.0205,-93.218,79.25,76,100,6.91,heavy intensity rain
115,College,US,2022-07-26 20:24:45,64.8569,-147.8028,57.99,54,75,14.97,broken clouds
116,Tautira,PF,2022-07-26 20:29:40,-17.7333,-149.15,74.21,88,100,12.93,light rain
117,Bambous Virieux,MU,2022-07-26 20:29:42,-20.3428,57.7575,69.22,88,40,6.91,light rain
118,Lasa,IT,2022-07-26 20:29:42,46.6166,10.7002,68.88,90,58,3.71,broken clouds
119,Yaan,NG,2022-07-26 20:29:43,7.3833,8.5667,73.13,94,42,7.58,scattered clouds
120,Uchiza,PE,2022-07-26 20:29:43,-8.4592,-76.4633,79.65,73,54,2.44,broken clouds
121,Arraial Do Cabo,BR,2022-07-26 20:27:29,-22.9661,-42.0278,73.36,78,0,14.97,clear sky
122,Iwanai,JP,2022-07-26 20:29:44,42.9744,140.5089,66.97,96,100,2.28,overcast clouds
123,Salalah,OM,2022-07-26 20:29:45,17.0151,54.0924,75.29,100,100,6.91,light intensity drizzle
124,Luderitz,NA,2022-07-26 20:28:28,-26.6481,15.1594,55.99,81,40,3.94,scattered clouds
125,Huarmey,PE,2022-07-26 20:29:46,-10.0681,-78.1522,67.68,72,60,12.46,broken clouds
126,Kungurtug,RU,2022-07-26 20:29:47,50.5994,97.5228,43.38,77,100,1.5,overcast clouds
127,Dingle,PH,2022-07-26 20:29:48,10.9995,122.6711,76.35,92,57,4.32,broken clouds
128,Khatanga,RU,2022-07-26 20:29:48,71.9667,102.5,66.04,56,74,8.93,broken clouds
129,Poum,NC,2022-07-26 20:29:49,-20.2333,164.0167,72.73,75,2,10.04,clear sky
130,Severomuysk,RU,2022-07-26 20:29:50,56.1481,113.4267,55.53,89,100,3.62,light rain
131,Beloha,MG,2022-07-26 20:29:50,-25.1667,45.05,60.55,79,0,2.62,clear sky
132,Klaksvik,FO,2022-07-26 20:29:51,62.2266,-6.589,52.72,75,88,8.99,overcast clouds
133,Paris,FR,2022-07-26 20:26:45,48.8534,2.3488,69.37,60,0,9.22,clear sky
134,Liwale,TZ,2022-07-26 20:29:52,-9.7667,37.9333,64.63,61,59,2.86,broken clouds
135,Cherskiy,RU,2022-07-26 20:29:53,68.75,161.3,44.42,62,5,11.14,clear sky
136,Coihaique,CL,2022-07-26 20:29:53,-45.5752,-72.0662,35.55,75,100,4.61,overcast clouds
137,Saint George,US,2022-07-26 20:29:54,37.1041,-113.5841,91.44,42,0,8.05,clear sky
138,Tual,ID,2022-07-26 20:29:54,-5.6667,132.75,78.94,81,44,23.15,scattered clouds
139,Vila Velha,BR,2022-07-26 20:29:55,-20.3297,-40.2925,75.15,82,20,6.91,few clouds
140,Nome,US,2022-07-26 20:29:56,64.5011,-165.4064,45.16,76,100,24.16,overcast clouds
141,Umm Lajj,SA,2022-07-26 20:29:56,25.0213,37.2685,86.09,69,10,6.73,clear sky
142,General Roca,AR,2022-07-26 20:29:57,-39.0333,-67.5833,45.7,95,100,11.92,overcast clouds
143,Jalu,LY,2022-07-26 20:29:58,29.0331,21.5482,87.49,32,5,15.46,clear sky
